permit_number,inspection_date,inspection_type,result,notes,inspector_name,reinspection_flag,source_url
ELZ-2026-0335,2026-05-24,Rough-in,Partial,Upper east garden porch attic pantry closet branch wiring repaired but replacement apron-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0335/1
ELZ-2026-0335,2026-05-25,Correction follow-up,Pass,Replacement apron-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0335/2
ELZ-2026-0336,2026-05-24,Rough-in,Partial,Upper south garden porch attic pantry closet branch wiring repaired but replacement lintel-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0336/1
ELZ-2026-0336,2026-05-25,Correction follow-up,Pass,Replacement lintel-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0336/2
ELZ-2026-0337,2026-05-24,Rough-in,Partial,Upper north garden porch attic pantry closet branch wiring repaired but replacement frieze-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0337/1
ELZ-2026-0337,2026-05-25,Correction follow-up,Pass,Replacement frieze-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0337/2
ELZ-2026-0338,2026-05-24,Rough-in,Partial,Upper central garden porch attic pantry closet branch wiring repaired but replacement plinth-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0338/1
ELZ-2026-0338,2026-05-25,Correction follow-up,Pass,Replacement plinth-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0338/2
ELZ-2026-0339,2026-05-24,Rough-in,Partial,Upper rear garden porch attic pantry closet branch wiring repaired but replacement cornice-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0339/1
ELZ-2026-0339,2026-05-25,Correction follow-up,Pass,Replacement cornice-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0339/2
ELZ-2026-0340,2026-05-24,Rough-in,Partial,Upper front garden porch attic pantry closet branch wiring repaired but replacement keystone-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0340/1
ELZ-2026-0340,2026-05-25,Correction follow-up,Pass,Replacement keystone-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0340/2
ELZ-2026-0341,2026-05-24,Rough-in,Partial,Upper side garden porch attic pantry closet branch wiring repaired but replacement pediment-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0341/1
ELZ-2026-0341,2026-05-25,Correction follow-up,Pass,Replacement pediment-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0341/2
ELZ-2026-0342,2026-05-24,Rough-in,Partial,Upper landing garden porch attic pantry closet branch wiring repaired but replacement transom-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0342/1
ELZ-2026-0342,2026-05-25,Correction follow-up,Pass,Replacement transom-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0342/2
ELZ-2026-0343,2026-05-24,Rough-in,Partial,Upper stair garden porch attic pantry closet branch wiring repaired but replacement mullion-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0343/1
ELZ-2026-0343,2026-05-25,Correction follow-up,Pass,Replacement mullion-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0343/2
ELZ-2026-0344,2026-05-24,Rough-in,Partial,Upper hall garden porch attic pantry closet branch wiring repaired but replacement stile-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0344/1
ELZ-2026-0344,2026-05-25,Correction follow-up,Pass,Replacement stile-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0344/2
ELZ-2026-0345,2026-05-24,Rough-in,Partial,Upper den garden porch attic pantry closet branch wiring repaired but replacement lintel-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0345/1
ELZ-2026-0345,2026-05-25,Correction follow-up,Pass,Replacement lintel-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0345/2
ELZ-2026-0346,2026-05-24,Rough-in,Partial,Upper parlor garden porch attic pantry closet branch wiring repaired but replacement soffit-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0346/1
ELZ-2026-0346,2026-05-25,Correction follow-up,Pass,Replacement soffit-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0346/2
ELZ-2026-0347,2026-05-24,Rough-in,Partial,Upper vestibule garden porch attic pantry closet branch wiring repaired but replacement fascia-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0347/1
ELZ-2026-0347,2026-05-25,Correction follow-up,Pass,Replacement fascia-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0347/2
ELZ-2026-0348,2026-05-24,Rough-in,Partial,Upper sitting garden porch attic pantry closet branch wiring repaired but replacement jamb-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0348/1
ELZ-2026-0348,2026-05-25,Correction follow-up,Pass,Replacement jamb-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0348/2
ELZ-2026-0349,2026-05-24,Rough-in,Partial,Upper library garden porch attic pantry closet branch wiring repaired but replacement stop-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0349/1
ELZ-2026-0349,2026-05-25,Correction follow-up,Pass,Replacement stop-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0349/2
ELZ-2026-0350,2026-05-24,Rough-in,Partial,Upper study garden porch attic pantry closet branch wiring repaired but replacement casing-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0350/1
ELZ-2026-0350,2026-05-25,Correction follow-up,Pass,Replacement casing-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0350/2
ELZ-2026-0351,2026-05-24,Rough-in,Partial,Upper alcove garden porch attic pantry closet branch wiring repaired but replacement apron-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0351/1
ELZ-2026-0351,2026-05-25,Correction follow-up,Pass,Replacement apron-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0351/2
ELZ-2026-0352,2026-05-24,Rough-in,Partial,Upper nook garden porch attic pantry closet branch wiring repaired but replacement threshold-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0352/1
ELZ-2026-0352,2026-05-25,Correction follow-up,Pass,Replacement threshold-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0352/2
ELZ-2026-0353,2026-05-24,Rough-in,Partial,Upper foyer garden porch attic pantry closet branch wiring repaired but replacement header-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0353/1
ELZ-2026-0353,2026-05-25,Correction follow-up,Pass,Replacement header-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0353/2
ELZ-2026-0354,2026-05-24,Rough-in,Partial,Upper bay garden porch attic pantry closet branch wiring repaired but replacement reveal-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0354/1
ELZ-2026-0354,2026-05-25,Correction follow-up,Pass,Replacement reveal-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0354/2
ELZ-2026-0355,2026-05-24,Rough-in,Partial,Upper loft garden porch attic pantry closet branch wiring repaired but replacement capstone-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0355/1
ELZ-2026-0355,2026-05-25,Correction follow-up,Pass,Replacement capstone-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0355/2
ELZ-2026-0356,2026-05-24,Rough-in,Partial,Upper gallery garden porch attic pantry closet branch wiring repaired but replacement crown-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0356/1
ELZ-2026-0356,2026-05-25,Correction follow-up,Pass,Replacement crown-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0356/2
ELZ-2026-0357,2026-05-24,Rough-in,Partial,Upper conservatory garden porch attic pantry closet branch wiring repaired but replacement gable-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0357/1
ELZ-2026-0357,2026-05-25,Correction follow-up,Pass,Replacement gable-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0357/2
ELZ-2026-0358,2026-05-24,Rough-in,Partial,Upper solarium garden porch attic pantry closet branch wiring repaired but replacement clerestory-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0358/1
ELZ-2026-0358,2026-05-25,Correction follow-up,Pass,Replacement clerestory-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0358/2
ELZ-2026-0359,2026-05-24,Rough-in,Partial,Upper arcade garden porch attic pantry closet branch wiring repaired but replacement lintel-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0359/1
ELZ-2026-0359,2026-05-25,Correction follow-up,Pass,Replacement lintel-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0359/2
ELZ-2026-0360,2026-05-24,Rough-in,Partial,Upper passage garden porch attic pantry closet branch wiring repaired but replacement architrave-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0360/1
ELZ-2026-0360,2026-05-25,Correction follow-up,Pass,Replacement architrave-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0360/2
ELZ-2026-0361,2026-05-24,Rough-in,Partial,Upper loggia garden porch attic pantry closet branch wiring repaired but replacement spandrel-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0361/1
ELZ-2026-0361,2026-05-25,Correction follow-up,Pass,Replacement spandrel-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0361/2
ELZ-2026-0362,2026-05-24,Rough-in,Partial,Upper dormer garden porch attic pantry closet branch wiring repaired but replacement parapet-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0362/1
ELZ-2026-0362,2026-05-25,Correction follow-up,Pass,Replacement parapet-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0362/2
ELZ-2026-0363,2026-05-24,Rough-in,Partial,Upper terrace garden porch attic pantry closet branch wiring repaired but replacement cornice-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0363/1
ELZ-2026-0363,2026-05-25,Correction follow-up,Pass,Replacement cornice-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0363/2
ELZ-2026-0364,2026-05-24,Rough-in,Partial,Upper portico garden porch attic pantry closet branch wiring repaired but replacement frieze-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0364/1
ELZ-2026-0364,2026-05-25,Correction follow-up,Pass,Replacement frieze-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0364/2
ELZ-2026-0365,2026-05-24,Rough-in,Partial,Upper gallery wing garden porch attic pantry closet branch wiring repaired but replacement dentil-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0365/1
ELZ-2026-0365,2026-05-25,Correction follow-up,Pass,Replacement dentil-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0365/2
ELZ-2026-0366,2026-05-24,Rough-in,Partial,Upper arcade wing garden porch attic pantry closet branch wiring repaired but replacement modillion-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0366/1
ELZ-2026-0366,2026-05-25,Correction follow-up,Pass,Replacement modillion-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0366/2
ELZ-2026-0367,2026-05-24,Rough-in,Partial,Upper veranda wing garden porch attic pantry closet branch wiring repaired but replacement soffit-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0367/1
ELZ-2026-0367,2026-05-25,Correction follow-up,Pass,Replacement soffit-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0367/2
ELZ-2026-0368,2026-05-24,Rough-in,Partial,Upper balcony wing garden porch attic pantry closet branch wiring repaired but replacement fascia-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0368/1
ELZ-2026-0368,2026-05-25,Correction follow-up,Pass,Replacement fascia-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0368/2
ELZ-2026-0369,2026-05-24,Rough-in,Partial,Upper breezeway wing garden porch attic pantry closet branch wiring repaired but replacement gable-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0369/1
ELZ-2026-0369,2026-05-25,Correction follow-up,Pass,Replacement gable-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0369/2
ELZ-2026-0370,2026-05-24,Rough-in,Partial,Upper lanai wing garden porch attic pantry closet branch wiring repaired but replacement eave-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0370/1
ELZ-2026-0370,2026-05-25,Correction follow-up,Pass,Replacement eave-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0370/2
ELZ-2026-0371,2026-05-24,Rough-in,Partial,Upper sunroom wing garden porch attic pantry closet branch wiring repaired but replacement parapet-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0371/1
ELZ-2026-0371,2026-05-25,Correction follow-up,Pass,Replacement parapet-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0371/2
ELZ-2026-0372,2026-05-24,Rough-in,Partial,Upper lounge wing garden porch attic pantry closet branch wiring repaired but replacement corbel-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0372/1
ELZ-2026-0372,2026-05-25,Correction follow-up,Pass,Replacement corbel-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0372/2
ELZ-2026-0373,2026-05-24,Rough-in,Partial,Upper atrium wing garden porch attic pantry closet branch wiring repaired but replacement pilaster-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0373/1
ELZ-2026-0373,2026-05-25,Correction follow-up,Pass,Replacement pilaster-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0373/2
ELZ-2026-0374,2026-05-24,Rough-in,Partial,Upper solarium wing garden porch attic pantry closet branch wiring repaired but replacement keystone-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0374/1
ELZ-2026-0374,2026-05-25,Correction follow-up,Pass,Replacement keystone-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0374/2
ELZ-2026-0375,2026-05-24,Rough-in,Partial,Upper conservatory wing garden porch attic pantry closet branch wiring repaired but replacement voussoir-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0375/1
ELZ-2026-0375,2026-05-25,Correction follow-up,Pass,Replacement voussoir-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0375/2
ELZ-2026-0376,2026-05-24,Rough-in,Partial,Upper oriel wing garden porch attic pantry closet branch wiring repaired but replacement tracery-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0376/1
ELZ-2026-0376,2026-05-25,Correction follow-up,Pass,Replacement tracery-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0376/2
ELZ-2026-0377,2026-05-24,Rough-in,Partial,Upper cupola wing garden porch attic pantry closet branch wiring repaired but replacement finial-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0377/1
ELZ-2026-0377,2026-05-25,Correction follow-up,Pass,Replacement finial-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0377/2
ELZ-2026-0378,2026-05-24,Rough-in,Partial,Upper clerestory wing garden porch attic pantry closet branch wiring repaired but replacement cresting-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0378/1
ELZ-2026-0378,2026-05-25,Correction follow-up,Pass,Replacement cresting-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0378/2
ELZ-2026-0379,2026-05-24,Rough-in,Partial,Upper lantern wing garden porch attic pantry closet branch wiring repaired but replacement oculus-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0379/1
ELZ-2026-0379,2026-05-25,Correction follow-up,Pass,Replacement oculus-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0379/2
ELZ-2026-0380,2026-05-24,Rough-in,Partial,Upper belvedere wing garden porch attic pantry closet branch wiring repaired but replacement dormer-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0380/1
ELZ-2026-0380,2026-05-25,Correction follow-up,Pass,Replacement dormer-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0380/2
ELZ-2026-0381,2026-05-24,Rough-in,Partial,Upper observatory wing garden porch attic pantry closet branch wiring repaired but replacement mansard-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0381/1
ELZ-2026-0381,2026-05-25,Correction follow-up,Pass,Replacement mansard-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0381/2
ELZ-2026-0382,2026-05-24,Rough-in,Partial,Upper turret wing garden porch attic pantry closet branch wiring repaired but replacement gambrel-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0382/1
ELZ-2026-0382,2026-05-25,Correction follow-up,Pass,Replacement gambrel-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0382/2
ELZ-2026-0383,2026-05-24,Rough-in,Partial,Upper spire wing garden porch attic pantry closet branch wiring repaired but replacement bargeboard-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0383/1
ELZ-2026-0383,2026-05-25,Correction follow-up,Pass,Replacement bargeboard-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0383/2
ELZ-2026-0384,2026-05-24,Rough-in,Partial,Upper gablet wing garden porch attic pantry closet branch wiring repaired but replacement quoin-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0384/1
ELZ-2026-0384,2026-05-25,Correction follow-up,Pass,Replacement quoin-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0384/2
ELZ-2026-0385,2026-05-24,Rough-in,Partial,Upper oriel wing garden porch attic pantry closet branch wiring repaired but replacement fanlight-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0385/1
ELZ-2026-0385,2026-05-25,Correction follow-up,Pass,Replacement fanlight-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0385/2
ELZ-2026-0386,2026-05-24,Rough-in,Partial,Upper vestibule wing garden porch attic pantry closet branch wiring repaired but replacement lunette-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0386/1
ELZ-2026-0386,2026-05-25,Correction follow-up,Pass,Replacement lunette-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0386/2
ELZ-2026-0387,2026-05-24,Rough-in,Partial,Upper transom wing garden porch attic pantry closet branch wiring repaired but replacement rosette-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0387/1
ELZ-2026-0387,2026-05-25,Correction follow-up,Pass,Replacement rosette-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0387/2
ELZ-2026-0388,2026-05-24,Rough-in,Partial,Upper gallery wing garden porch attic pantry closet branch wiring repaired but replacement medallion-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0388/1
ELZ-2026-0388,2026-05-25,Correction follow-up,Pass,Replacement medallion-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0388/2
ELZ-2026-0389,2026-05-24,Rough-in,Partial,Upper arcade wing garden porch attic pantry closet branch wiring repaired but replacement triforium-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0389/1
ELZ-2026-0389,2026-05-25,Correction follow-up,Pass,Replacement triforium-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0389/2
ELZ-2026-0390,2026-05-24,Rough-in,Partial,Upper cloister wing garden porch attic pantry closet branch wiring repaired but replacement archivolt-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0390/1
ELZ-2026-0390,2026-05-25,Correction follow-up,Pass,Replacement archivolt-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0390/2
ELZ-2026-0391,2026-05-24,Rough-in,Partial,Upper apse wing garden porch attic pantry closet branch wiring repaired but replacement apse-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0391/1
ELZ-2026-0391,2026-05-25,Correction follow-up,Pass,Replacement apse-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0391/2
ELZ-2026-0392,2026-05-24,Rough-in,Partial,Upper nave wing garden porch attic pantry closet branch wiring repaired but replacement nave-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0392/1
ELZ-2026-0392,2026-05-25,Correction follow-up,Pass,Replacement nave-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0392/2
ELZ-2026-0393,2026-05-24,Rough-in,Partial,Upper chancel wing garden porch attic pantry closet branch wiring repaired but replacement chancel-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0393/1
ELZ-2026-0393,2026-05-25,Correction follow-up,Pass,Replacement chancel-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0393/2
ELZ-2026-0394,2026-05-24,Rough-in,Partial,Upper transept wing garden porch attic pantry closet branch wiring repaired but replacement reredos-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0394/1
ELZ-2026-0394,2026-05-25,Correction follow-up,Pass,Replacement reredos-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0394/2
ELZ-2026-0395,2026-05-24,Rough-in,Partial,Upper narthex wing garden porch attic pantry closet branch wiring repaired but replacement narthex-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0395/1
ELZ-2026-0395,2026-05-25,Correction follow-up,Pass,Replacement narthex-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0395/2
ELZ-2026-0396,2026-05-24,Rough-in,Partial,Upper choir-loft wing garden porch attic pantry closet branch wiring repaired but replacement choir-loft-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0396/1
ELZ-2026-0396,2026-05-25,Correction follow-up,Pass,Replacement choir-loft-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0396/2
ELZ-2026-0397,2026-05-24,Rough-in,Partial,Upper sacristy wing garden porch attic pantry closet branch wiring repaired but replacement sacristy-bracket lighting and cover trim remained incomplete before rough-in approval.,Inspector Patel,false,https://example.local/dallas/inspections/ELZ-2026-0397/1
ELZ-2026-0397,2026-05-25,Correction follow-up,Pass,Replacement sacristy-bracket lighting installed and cover trim completed for approval.,Inspector Patel,true,https://example.local/dallas/inspections/ELZ-2026-0397/2
